index,station_name
0,13-block trilok puri
1,abdul fazal encalve
2,abdul fazal exten
3,adarash nagarmetro station
4,adarsh nagar
5,ae-blk shalimar bagh
6,aiims
7,air force h.q.
8,ajmeri gate
9,akbar road
10,ambedkar nagar sec-4 (virat cinema)
11,ambedkar nagar terminal
12,ambedkar stadium
13,ambedkar stadium terminal
14,anand gram
15,anand gram ashram
16,anand parvat
17,anand vihar
18,anand vihar isbt
19,anand vihar isbt rd no-56
20,anand vihar terminal
21,andheria mode/ chhatarpur mode
22,andheria more
23,andrews ganj
24,andrews gunj shiv mandir
25,aps colony
26,arsd college
27,arya samaj road
28,ashok vihar central mkt
29,ashok vihar water tank
30,ashok vihar x-ing
31,ashram
32,ashram (hari nagar)
33,ashram chowk
34,azad pur
35,azad pur terminal
36,b-3 keshav nagar
37,b-3 keshav puram
38,b.r.hospital
39,babar pur
40,babar pur extn
41,badar pur village
42,badarpur border
43,badarpur xing mb road
44,badli railway staion
45,bajit pur x-ing
46,balak ram hospital
47,balco apartment
48,balmiki mandir
49,bamnoli
50,bamnoli crossing
51,baprola village
52,bara bagh
53,barar square
54,baroda house
55,barwala village
56,basant village
57,bawana
58,bawana jj colony a-block
59,bbm complex
60,bbm ii depot
61,bc block vikaspuri
62,bdo office
63,begam pur/shivalik
64,begum pur
65,ber sarai
66,beriwala bagh
67,bhajan pura
68,bharat mata public school
69,bharat nagar x-ing
70,bharthal village
71,bharti nagar
72,bhartiya sadhu samaj
73,bijwasan railway crossing
74,bijwasan railway x-ing
75,bijwasan school
76,bsf camp chhawla
77,budh jyanti park
78,budh vihar
79,burari village
80,burari x-ing
81,c-1 janak puri
82,c-2-b janak puri
83,c-4 yamuna vihar
84,cargo
85,central school (k.v.)
86,chand pur x-ing
87,chandiwala
88,chauhan patti
89,chhawla camp
90,chhawla village
91,chitra gupta road
92,clock tower
93,cpwd colony
94,cr park market 2
95,cr park market-2
96,crown plaza
97,crpf
98,crpf camp
99,crri
100,d- sultan puri terminal
101,d-block janak puri
102,d.b. gupta college kalkaji
103,d.b. gupta market
104,dabri x-ing
105,daria pur school
106,dariya pur
107,daulat pur
108,daulat pur x-ing
109,daya basti
110,db collage
111,db gupta market
112,dda flat kalkaji
113,dda flats lado sarai
114,defence colony
115,defence colony homo. hosp
116,delhi gate
117,delhi public school
118,delhi secretariat
119,delhi university
120,delhi vidhan sabha metro station
121,dera more
122,desh bandhu college
123,desu colony
124,dhakewala
125,dhansa border
126,dhansa village
127,dhaula kuan
128,dhauladhar appt
129,dhool siras
130,dichaon kalan depot-i
131,dichaon kalan school
132,dichau kalan depot
133,dichaun chowk ngarh
134,dichaun kalan
135,dilshad garden  g.t. road
136,dilshad garden depot
137,district centre
138,dps matiyala
139,dr ambedkar nagar terminal
140,dr rml hospital
141,duralla border
142,dwarka flyover
143,dwarka more metro station
144,dwarka sec 16c ggs ip university
145,dwarka sec 17 18 crossing
146,dwarka sec 21 metro station
147,dwarka sec-10 metro st
148,dwarka sec-21 metro stn
149,dwarka sec-21 xing
150,dwarka sec-8 metro stn
151,dwarka sector-2 & 6
152,dwarka sector-6/7 xing
153,e block jahagir puri
154,e-blk shastri nagar
155,e.s.i. hospital
156,east vinod nagar
157,east vinod nagar depot
158,esi more
159,f-block raghubir nagar
160,fateh puri
161,gamri extension
162,gamri extn (pusta no-5)
163,garhi
164,ghevra village
165,ghuman hera x-ing
166,ghumman heera village
167,gk-ii m block
168,gobindpuri metro station
169,goela dairy
170,goela village
171,golf club
172,gopal pur crossing
173,government quarter ( sarai rohilla)
174,govind puri metro station
175,goyela village
176,gtb hospital
177,gtb nagar
178,gtb nagar metro station
179,gtk depot
180,gulabi bagh
181,gupta market
182,guru govind singh m g marg  x ing
183,guru govind singh marg
184,gurudwara nanak sar x-ing
185,gurudwara rakab ganj
186,gurugovind singh marg x-ing
187,haidar pur water works
188,hamdard nagar
189,harewali village
190,harewali xing
191,hargovind encl.
192,hargovind enclave
193,hari nagar clock tower
194,hari nagar depot
195,harish chander hospital
196,harsh vihar
197,haryana shakti c school kanjhawala
198,hasanpur depot
199,hasanpur village
200,health center
201,hiran kudan xing
202,holly family hospital
203,i.s.b.t
204,ice factory
205,igi airport t 2
206,iit gate
207,iit hostel
208,inder lok metro station
209,inder puri
210,inder puri jj colony
211,inderpuri(krishi kunj)
212,ip power station
213,isbt
214,isbt flyover loop
215,isbt kashemre gate
216,isbt kashmiri gate
217,isbt maharana pratap bus (t)
218,isbt nitya nand marg
219,isbt ring road
220,isha pur school
221,isha pur temple
222,ishapur village temple
223,ishwar nagar
224,ishwar nagar 2
225,ito
226,ito (agcr)
227,ito ring road
228,j.d block p.puri
229,jagat puri a-block
230,jagatpur x-ing
231,jalvihar terminal
232,janak puri b-1
233,janak puri c-1
234,janak puri c-2-b
235,janak puri d block
236,jawahar lal nehru stadium
237,jawala puri
238,jd block pitam pura (m enclave)
239,jharoda crossing
240,jharoda dairy xing
241,jharoda kalan
242,jharoda stand najafgarh
243,jhatikara more
244,jhatikara x-ing
245,jheel
246,jl nehru stadium
247,jln stadium
248,junk market
249,jwala puri
250,jyoti cly
251,jyoti colony durga puri
252,kair depot
253,kair village
254,kakorla bridege
255,kakrola x-ing
256,kalyan puri
257,kalyan puri x-ing
258,kalyan vihar
259,kamla market
260,kamruddin nagar
261,kamruddin nagar crossing
262,kangan heri village
263,kanjhawala chowk
264,kanjhawala depot
265,kanjhawala haryana shakti c-school
266,kanjhawala village
267,kapashera border
268,kapashera more
269,kapashera x-ing
270,kapshera border
271,karala
272,karala crosing
273,karala village
274,karala village xing
275,karampura terminal
276,karol bagh telephone exchange
277,kaushik enclave
278,kenderiya terminal
279,keshav mahavidyalya
280,keshav nagar
281,kewal park m.c.d flats
282,khalsa college
283,kharkhari jhatmal
284,kharkhari nahar
285,khel gaon
286,khera village
287,khiala restl colony
288,khirki village
289,khureji
290,kirbi place
291,kishan garh
292,kishan gunj market
293,kishan kunj
294,koushik enclave
295,krishi bahwan
296,kushak nallah depot
297,lado sarai
298,lajpat nagar
299,lajpat nagar d story r road
300,lajpat nagar r road
301,lajwanti garden
302,libas pur gt road
303,lodhi cly
304,lodhi colony market
305,loha mandi
306,madan pur dabas
307,madanpur khadar
308,madanpur khadar crossing
309,madanpur khadar x-ing
310,madhu vihar
311,madi pur jj colony
312,maharani bagh
313,maharani bagh ashram
314,mahaveer enclave part ii & iii
315,mahavir enclave part ii-iii
316,mahendra park
317,mahipal pur
318,mahipal pur village
319,mahipal pur xing
320,"mahvir enclave part ii,iii"
321,majnu ka teela
322,major b.s.nagar
323,malik pur village
324,malik pur xing
325,malka ganj
326,mandi  house
327,mangala puri
328,mangla puri terminal
329,mangol pur school
330,mangol pur y block
331,mangol puri
